* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:34:59 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -8.0 dB
* Note: 
* Measurement: L1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
6.624585 54.752 16.6185
6.672590 54.869 16.0346
6.720942 54.984 15.4403
6.769645 55.098 14.8367
6.818700 55.210 14.2248
6.868111 55.320 13.6055
6.917881 55.428 12.9799
6.968010 55.535 12.3489
7.018504 55.640 11.7136
7.069362 55.744 11.0748
7.120590 55.846 10.4334
7.172189 55.947 9.7904
7.224161 56.047 9.1465
7.276511 56.145 8.5026
7.329239 56.243 7.8593
7.382350 56.339 7.2174
7.435845 56.435 6.5775
7.489729 56.530 5.9402
7.544002 56.624 5.3060
7.598669 56.717 4.6753
7.653732 56.811 4.0487
7.709194 56.903 3.4265
7.765058 56.996 2.8089
7.821327 57.088 2.1963
7.878004 57.181 1.5887
7.935091 57.273 0.9865
7.992592 57.365 0.3897
8.050510 57.458 -0.2017
8.108847 57.550 -0.7875
8.167607 57.643 -1.3679
8.226793 57.736 -1.9428
8.286408 57.830 -2.5123
8.346454 57.923 -3.0764
8.406936 58.017 -3.6354
8.467856 58.112 -4.1892
8.529218 58.206 -4.7381
8.591024 58.301 -5.2820
8.653278 58.397 -5.8212
8.715983 58.493 -6.3558
8.779143 58.589 -6.8859
8.842760 58.686 -7.4116
8.906839 58.783 -7.9330
8.971381 58.880 -8.4501
9.036392 58.978 -8.9632
9.101873 59.076 -9.4721
9.167829 59.174 -9.9771
9.234263 59.272 -10.4781
9.301178 59.371 -10.9752
9.368578 59.470 -11.4683
9.436467 59.570 -11.9575
9.504847 59.669 -12.4428
9.573723 59.769 -12.9242
9.643099 59.870 -13.4017
9.712976 59.970 -13.8751
9.783361 60.071 -14.3446
9.854255 60.171 -14.8100
9.925663 60.272 -15.2713
9.997588 60.374 -15.7284
10.070035 60.475 -16.1814
10.143007 60.577 -16.6301
10.216507 60.679 -17.0744
10.290540 60.781 -17.5144
10.365109 60.884 -17.9499
10.440219 60.986 -18.3809
10.515873 61.090 -18.8074
10.592076 61.193 -19.2292
10.668830 61.297 -19.6464
10.746141 61.401 -20.0590
10.824012 61.505 -20.4669
10.902447 61.610 -20.8701
10.981451 61.716 -21.2688
11.061027 61.822 -21.6631
11.141180 61.928 -22.0530
11.221913 62.035 -22.4387
11.303232 62.142 -22.8204
11.385140 62.250 -23.1986
11.467641 62.359 -23.5734
11.550741 62.468 -23.9453
11.634442 62.578 -24.3147
11.718750 62.689 -24.6823
11.803669 62.800 -25.0486
11.889203 62.911 -25.4142
11.975357 63.023 -25.7798
12.062136 63.135 -26.1463
12.149543 63.248 -26.5144
12.237583 63.361 -26.8849
12.326262 63.474 -27.2586
12.415583 63.587 -27.6364
12.505552 63.700 -28.0192
12.596172 63.813 -28.4076
12.687449 63.925 -28.8025
12.779387 64.037 -29.2046
12.871992 64.149 -29.6145
12.965268 64.259 -30.0328
13.059220 64.369 -30.4599
13.153852 64.477 -30.8963
13.249170 64.585 -31.3422
13.345179 64.691 -31.7978
13.441884 64.795 -32.2633
13.539289 64.898 -32.7385
13.637401 65.000 -33.2234
13.736223 65.100 -33.7177
13.835761 65.198 -34.2212
13.936021 65.294 -34.7335
14.037007 65.389 -35.2541
14.138725 65.482 -35.7826
14.241180 65.573 -36.3184
14.344377 65.662 -36.8610
14.448323 65.750 -37.4097
14.553021 65.836 -37.9640
14.658478 65.920 -38.5233
14.764700 66.003 -39.0870
14.871691 66.084 -39.6545
14.979457 66.164 -40.2254
15.088005 66.243 -40.7991
15.197339 66.321 -41.3751
15.307465 66.398 -41.9532
15.418389 66.475 -42.5328
15.530117 66.550 -43.1137
15.642655 66.625 -43.6957
15.756008 66.700 -44.2785
15.870182 66.774 -44.8619
15.985184 66.848 -45.4458
16.101019 66.922 -46.0301
16.217694 66.997 -46.6147
16.335214 67.071 -47.1995
16.453586 67.146 -47.7847
16.572815 67.222 -48.3701
16.692909 67.297 -48.9557
16.813872 67.374 -49.5416
16.935713 67.452 -50.1279
17.058436 67.530 -50.7144
17.182048 67.609 -51.3014
17.306556 67.689 -51.8886
17.431967 67.770 -52.4762
17.558286 67.853 -53.0642
17.685521 67.936 -53.6525
17.813677 68.021 -54.2411
17.942762 68.107 -54.8299
18.072783 68.194 -55.4188
18.203746 68.282 -56.0078
18.335658 68.372 -56.5968
18.468526 68.463 -57.1855
18.602356 68.555 -57.7740
18.737156 68.648 -58.3619
18.872934 68.742 -58.9491
19.009695 68.837 -59.5355
19.147447 68.933 -60.1208
19.286197 69.030 -60.7047
19.425953 69.128 -61.2870
19.566721 69.226 -61.8675
19.708510 69.325 -62.4458
19.851326 69.425 -63.0216
19.995177 69.525 -63.5945
20.140070 69.625 -64.1643
20.286013 69.725 -64.7306
20.433014 69.826 -65.2929
20.581080 69.926 -65.8510
20.730219 70.026 -66.4044
20.880439 70.126 -66.9526
21.031747 70.225 -67.4954
21.184152 70.324 -68.0324
21.337661 70.423 -68.5631
21.492282 70.520 -69.0873
21.648024 70.617 -69.6046
21.804895 70.713 -70.1148
21.962902 70.809 -70.6174
22.122054 70.903 -71.1125
22.282360 70.996 -71.5998
22.443827 71.088 -72.0791
22.606464 71.179 -72.5505
22.770280 71.268 -73.0139
22.935283 71.356 -73.4693
23.101481 71.443 -73.9170
23.268884 71.529 -74.3570
23.437500 71.613 -74.7896
23.607338 71.696 -75.2151
23.778406 71.777 -75.6339
23.950714 71.856 -76.0463
24.124271 71.934 -76.4528
24.299086 72.011 -76.8538
24.475167 72.085 -77.2500
24.652524 72.159 -77.6418
24.831166 72.230 -78.0298
25.011103 72.300 -78.4147
25.192344 72.368 -78.7971
25.374898 72.434 -79.1775
25.558775 72.499 -79.5567
25.743984 72.562 -79.9353
25.930536 72.623 -80.3140
26.118439 72.683 -80.6934
26.307704 72.741 -81.0742
26.498341 72.798 -81.4572
26.690359 72.853 -81.8430
26.883768 72.906 -82.2323
27.078579 72.959 -82.6258
27.274801 73.010 -83.0241
27.472446 73.059 -83.4280
27.671522 73.108 -83.8382
27.872042 73.156 -84.2552
28.074014 73.202 -84.6797
28.277450 73.248 -85.1124
28.482360 73.293 -85.5538
28.688755 73.337 -86.0044
28.896645 73.381 -86.4648
29.106042 73.425 -86.9353
29.316957 73.468 -87.4163
29.529400 73.510 -87.9081
29.743382 73.553 -88.4110
29.958915 73.596 -88.9252
30.176009 73.639 -89.4505
30.394677 73.682 -89.9872
30.614929 73.725 -90.5350
30.836778 73.769 -91.0938
31.060234 73.813 -91.6632
31.285309 73.858 -92.2428
31.512015 73.904 -92.8322
31.740364 73.950 -93.4307
31.970368 73.997 -94.0377
32.202039 74.045 -94.6524
32.435388 74.093 -95.2740
32.670428 74.143 -95.9015
32.907171 74.193 -96.5339
33.145630 74.245 -97.1702
33.385817 74.297 -97.8093
33.627745 74.350 -98.4500
33.871425 74.404 -99.0911
34.116871 74.459 -99.7315
34.364096 74.515 -100.3700
34.613113 74.571 -101.0054
34.863934 74.628 -101.6365
35.116572 74.685 -102.2623
35.371041 74.743 -102.8816
35.627354 74.801 -103.4935
35.885525 74.859 -104.0970
36.145566 74.917 -104.6913
36.407492 74.976 -105.2757
36.671316 75.034 -105.8493
36.937051 75.091 -106.4118
37.204712 75.149 -106.9628
37.474313 75.205 -107.5017
37.745867 75.261 -108.0286
38.019389 75.316 -108.5433
38.294893 75.371 -109.0460
38.572394 75.424 -109.5368
38.851905 75.476 -110.0160
39.133442 75.526 -110.4842
39.417019 75.576 -110.9418
39.702651 75.624 -111.3897
39.990353 75.670 -111.8285
40.280140 75.715 -112.2592
40.572026 75.759 -112.6828
40.866028 75.800 -113.1004
41.162160 75.840 -113.5130
41.460438 75.879 -113.9219
41.760877 75.915 -114.3282
42.063494 75.950 -114.7332
42.368303 75.984 -115.1382
42.675322 76.016 -115.5444
42.984565 76.046 -115.9530
43.296048 76.075 -116.3651
43.609789 76.103 -116.7817
43.925804 76.129 -117.2040
44.244108 76.155 -117.6328
44.564719 76.179 -118.0688
44.887654 76.203 -118.5128
