* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:53:40 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RO
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.296038 39.138 42.9417
5.334415 39.426 42.4007
5.373071 39.712 41.8303
5.412006 39.994 41.2397
5.451224 40.274 40.6362
5.490725 40.552 40.0260
5.530514 40.827 39.4143
5.570590 41.100 38.8057
5.610957 41.372 38.2038
5.651616 41.641 37.6120
5.692570 41.908 37.0332
5.733821 42.174 36.4697
5.775370 42.438 35.9235
5.817221 42.701 35.3965
5.859375 42.963 34.8899
5.901834 43.224 34.4048
5.944602 43.484 33.9419
5.987679 43.743 33.5018
6.031068 44.002 33.0844
6.074771 44.260 32.6896
6.118792 44.517 32.3168
6.163131 44.773 31.9653
6.207792 45.029 31.6340
6.252776 45.284 31.3213
6.298086 45.538 31.0257
6.343725 45.791 30.7450
6.389694 46.043 30.4772
6.435996 46.294 30.2198
6.482634 46.543 29.9701
6.529610 46.791 29.7255
6.576926 47.037 29.4830
6.624585 47.281 29.2398
6.672590 47.523 28.9929
6.720942 47.762 28.7394
6.769645 47.998 28.4766
6.818700 48.232 28.2017
6.868111 48.462 27.9123
6.917881 48.689 27.6060
6.968010 48.912 27.2807
7.018504 49.131 26.9348
7.069362 49.346 26.5665
7.120590 49.557 26.1747
7.172189 49.763 25.7585
7.224161 49.964 25.3173
7.276511 50.160 24.8507
7.329239 50.351 24.3588
7.382350 50.537 23.8419
7.435845 50.717 23.3005
7.489729 50.891 22.7355
7.544002 51.060 22.1481
7.598669 51.223 21.5395
7.653732 51.380 20.9113
7.709194 51.530 20.2654
7.765058 51.675 19.6038
7.821327 51.813 18.9284
7.878004 51.945 18.2418
7.935091 52.071 17.5463
7.992592 52.191 16.8446
8.050510 52.304 16.1392
8.108847 52.412 15.4332
8.167607 52.513 14.7292
8.226793 52.609 14.0303
8.286408 52.699 13.3396
8.346454 52.783 12.6599
8.406936 52.863 11.9946
8.467856 52.937 11.3465
8.529218 53.007 10.7187
8.591024 53.072 10.1142
8.653278 53.134 9.5360
8.715983 53.193 8.9867
8.779143 53.248 8.4690
8.842760 53.302 7.9853
8.906839 53.354 7.5378
8.971381 53.405 7.1282
9.036392 53.455 6.7582
9.101873 53.506 6.4287
9.167829 53.559 6.1404
9.234263 53.613 5.8934
9.301178 53.669 5.6871
9.368578 53.729 5.5206
9.436467 53.792 5.3920
9.504847 53.860 5.2990
9.573723 53.932 5.2386
9.643099 54.009 5.2069
9.712976 54.091 5.1999
9.783361 54.179 5.2127
9.854255 54.271 5.2400
9.925663 54.368 5.2763
9.997588 54.470 5.3159
10.070035 54.577 5.3528
10.143007 54.687 5.3813
10.216507 54.800 5.3958
10.290540 54.916 5.3909
10.365109 55.033 5.3618
10.440219 55.152 5.3043
10.515873 55.272 5.2144
10.592076 55.391 5.0893
10.668830 55.509 4.9265
10.746141 55.626 4.7242
10.824012 55.741 4.4816
10.902447 55.853 4.1983
10.981451 55.962 3.8747
11.061027 56.067 3.5115
11.141180 56.169 3.1103
11.221913 56.266 2.6729
11.303232 56.359 2.2016
11.385140 56.446 1.6992
11.467641 56.529 1.1687
11.550741 56.607 0.6131
11.634442 56.680 0.0361
11.718750 56.747 -0.5590
11.803669 56.810 -1.1684
11.889203 56.868 -1.7885
11.975357 56.921 -2.4156
12.062136 56.970 -3.0462
12.149543 57.014 -3.6766
12.237583 57.055 -4.3036
12.326262 57.093 -4.9241
12.415583 57.128 -5.5350
12.505552 57.161 -6.1339
12.596172 57.193 -6.7184
12.687449 57.223 -7.2867
12.779387 57.253 -7.8374
12.871992 57.284 -8.3695
12.965268 57.316 -8.8826
13.059220 57.349 -9.3768
13.153852 57.385 -9.8526
13.249170 57.423 -10.3112
13.345179 57.465 -10.7545
13.441884 57.511 -11.1844
13.539289 57.562 -11.6038
13.637401 57.616 -12.0156
13.736223 57.676 -12.4232
13.835761 57.739 -12.8300
13.936021 57.808 -13.2399
14.037007 57.880 -13.6565
14.138725 57.957 -14.0834
14.241180 58.037 -14.5239
14.344377 58.121 -14.9812
14.448323 58.206 -15.4580
14.553021 58.294 -15.9567
14.658478 58.384 -16.4791
14.764700 58.475 -17.0264
14.871691 58.566 -17.5995
14.979457 58.657 -18.1986
15.088005 58.748 -18.8236
15.197339 58.838 -19.4737
15.307465 58.927 -20.1478
15.418389 59.015 -20.8444
15.530117 59.101 -21.5617
15.642655 59.186 -22.2975
15.756008 59.269 -23.0495
15.870182 59.351 -23.8154
15.985184 59.431 -24.5925
16.101019 59.510 -25.3785
16.217694 59.588 -26.1706
16.335214 59.665 -26.9665
16.453586 59.741 -27.7639
16.572815 59.818 -28.5607
16.692909 59.894 -29.3549
16.813872 59.972 -30.1448
16.935713 60.050 -30.9289
17.058436 60.129 -31.7061
17.182048 60.210 -32.4756
17.306556 60.293 -33.2366
17.431967 60.378 -33.9887
17.558286 60.466 -34.7321
17.685521 60.556 -35.4666
17.813677 60.649 -36.1928
17.942762 60.745 -36.9111
18.072783 60.844 -37.6222
18.203746 60.945 -38.3268
18.335658 61.049 -39.0258
18.468526 61.156 -39.7201
18.602356 61.265 -40.4103
18.737156 61.376 -41.0974
18.872934 61.490 -41.7819
19.009695 61.605 -42.4645
19.147447 61.721 -43.1456
19.286197 61.839 -43.8255
19.425953 61.958 -44.5044
19.566721 62.077 -45.1822
19.708510 62.197 -45.8588
19.851326 62.317 -46.5339
19.995177 62.436 -47.2070
20.140070 62.556 -47.8775
20.286013 62.675 -48.5448
20.433014 62.794 -49.2082
20.581080 62.912 -49.8666
20.730219 63.029 -50.5194
20.880439 63.146 -51.1654
21.031747 63.261 -51.8039
21.184152 63.375 -52.4339
21.337661 63.488 -53.0544
21.492282 63.600 -53.6647
21.648024 63.711 -54.2639
21.804895 63.820 -54.8513
21.962902 63.928 -55.4264
22.122054 64.035 -55.9885
22.282360 64.141 -56.5374
22.443827 64.245 -57.0726
22.606464 64.348 -57.5941
22.770280 64.450 -58.1019
22.935283 64.550 -58.5959
23.101481 64.649 -59.0763
23.268884 64.747 -59.5436
23.437500 64.843 -59.9981
23.607338 64.939 -60.4403
23.778406 65.032 -60.8709
23.950714 65.125 -61.2906
24.124271 65.216 -61.7003
24.299086 65.305 -62.1007
24.475167 65.393 -62.4930
24.652524 65.480 -62.8781
24.831166 65.566 -63.2572
25.011103 65.650 -63.6315
25.192344 65.732 -64.0023
25.374898 65.813 -64.3708
25.558775 65.893 -64.7383
25.743984 65.971 -65.1062
25.930536 66.047 -65.4760
26.118439 66.122 -65.8488
26.307704 66.196 -66.2262
26.498341 66.268 -66.6093
26.690359 66.338 -66.9995
26.883768 66.407 -67.3978
27.078579 66.474 -67.8055
27.274801 66.539 -68.2236
27.472446 66.603 -68.6529
27.671522 66.665 -69.0942
27.872042 66.726 -69.5482
28.074014 66.785 -70.0156
28.277450 66.842 -70.4966
28.482360 66.898 -70.9916
28.688755 66.952 -71.5007
28.896645 67.005 -72.0239
29.106042 67.057 -72.5611
29.316957 67.107 -73.1121
29.529400 67.157 -73.6765
29.743382 67.205 -74.2538
29.958915 67.252 -74.8434
30.176009 67.299 -75.4446
30.394677 67.344 -76.0566
30.614929 67.390 -76.6786
30.836778 67.435 -77.3097
31.060234 67.479 -77.9488
31.285309 67.524 -78.5949
31.512015 67.569 -79.2469
31.740364 67.614 -79.9038
31.970368 67.659 -80.5645
32.202039 67.705 -81.2277
32.435388 67.751 -81.8925
32.670428 67.798 -82.5576
32.907171 67.845 -83.2221
33.145630 67.893 -83.8847
33.385817 67.942 -84.5444
33.627745 67.992 -85.2003
33.871425 68.043 -85.8514
34.116871 68.094 -86.4967
34.364096 68.147 -87.1353
34.613113 68.200 -87.7664
34.863934 68.253 -88.3893
35.116572 68.308 -89.0033
35.371041 68.363 -89.6076
35.627354 68.418 -90.2019
35.885525 68.474 -90.7857
36.145566 68.531 -91.3584
36.407492 68.587 -91.9199
36.671316 68.644 -92.4700
36.937051 68.701 -93.0084
37.204712 68.758 -93.5351
37.474313 68.814 -94.0501
37.745867 68.871 -94.5536
38.019389 68.927 -95.0457
38.294893 68.983 -95.5266
38.572394 69.038 -95.9966
38.851905 69.092 -96.4561
39.133442 69.146 -96.9056
39.417019 69.199 -97.3454
39.702651 69.252 -97.7761
39.990353 69.303 -98.1984
40.280140 69.353 -98.6128
40.572026 69.403 -99.0200
40.866028 69.451 -99.4207
41.162160 69.498 -99.8157
41.460438 69.545 -100.2058
41.760877 69.590 -100.5919
42.063494 69.634 -100.9747
42.368303 69.678 -101.3553
42.675322 69.720 -101.7344
42.984565 69.762 -102.1131
43.296048 69.803 -102.4923
43.609789 69.844 -102.8728
43.925804 69.884 -103.2556
44.244108 69.924 -103.6415
44.564719 69.963 -104.0313
44.887654 70.002 -104.4260
45.212928 70.042 -104.8260
45.540560 70.081 -105.2321
45.870565 70.121 -105.6448
46.202962 70.161 -106.0645
46.537768 70.202 -106.4916
46.875000 70.243 -106.9261
47.214676 70.285 -107.3682
47.556813 70.328 -107.8178
47.901429 70.372 -108.2747
48.248542 70.416 -108.7385
48.598171 70.462 -109.2088
48.950334 70.508 -109.6851
49.305048 70.555 -110.1667
49.662333 70.603 -110.6529
50.022206 70.651 -111.1428
50.384688 70.700 -111.6358
50.749796 70.750 -112.1309
51.117550 70.800 -112.6272
51.487969 70.850 -113.1241
51.861072 70.900 -113.6208
52.236879 70.950 -114.1165
52.615409 70.999 -114.6106
52.996681 71.048 -115.1027
53.380717 71.097 -115.5923
53.767536 71.145 -116.0791
54.157158 71.192 -116.5628
54.549603 71.237 -117.0435
54.944892 71.282 -117.5210
55.343045 71.325 -117.9956
55.744084 71.367 -118.4674
56.148028 71.408 -118.9368
56.554900 71.447 -119.4041
56.964720 71.485 -119.8698
57.377510 71.522 -120.3344
57.793291 71.557 -120.7984
58.212085 71.591 -121.2624
58.633914 71.623 -121.7269
59.058799 71.654 -122.1925
59.486764 71.684 -122.6597
59.917829 71.713 -123.1290
60.352019 71.742 -123.6008
60.789354 71.769 -124.0754
61.229859 71.796 -124.5532
61.673556 71.822 -125.0342
62.120468 71.847 -125.5187
62.570618 71.872 -126.0064
63.024031 71.897 -126.4974
63.480729 71.922 -126.9912
63.940736 71.947 -127.4878
64.404077 71.971 -127.9865
64.870776 71.996 -128.4870
65.340856 72.020 -128.9887
65.814343 72.044 -129.4910
66.291261 72.069 -129.9934
66.771635 72.093 -130.4952
67.255489 72.118 -130.9960
67.742850 72.142 -131.4951
68.233743 72.166 -131.9921
68.728193 72.191 -132.4866
69.226226 72.214 -132.9782
69.727867 72.238 -133.4666
70.233144 72.261 -133.9517
70.742083 72.284 -134.4334
71.254709 72.306 -134.9117
71.771050 72.328 -135.3866
72.291132 72.349 -135.8584
72.814984 72.370 -136.3271
73.342631 72.390 -136.7931
73.874102 72.409 -137.2567
74.409424 72.428 -137.7182
74.948626 72.446 -138.1778
75.491734 72.463 -138.6361
76.038779 72.479 -139.0931
76.589787 72.495 -139.5493
77.144788 72.511 -140.0049
77.703811 72.526 -140.4600
78.266885 72.540 -140.9148
78.834039 72.554 -141.3694
79.405303 72.567 -141.8239
79.980706 72.580 -142.2783
80.560280 72.593 -142.7324
81.144053 72.605 -143.1862
81.732056 72.617 -143.6396
82.324320 72.628 -144.0923
82.920876 72.639 -144.5443
83.521755 72.650 -144.9954
84.126988 72.661 -145.4453
84.736607 72.671 -145.8939
85.350643 72.681 -146.3410
85.969129 72.690 -146.7865
86.592097 72.700 -147.2303
87.219579 72.708 -147.6723
87.851608 72.717 -148.1124
