* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:41:41 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -8.0 dB
* Note: 
* Measurement: R1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
17.306556 61.842 -29.6887
17.431967 61.941 -30.2473
17.558286 62.041 -30.8091
17.685521 62.142 -31.3748
17.813677 62.244 -31.9449
17.942762 62.346 -32.5198
18.072783 62.448 -33.0999
18.203746 62.552 -33.6853
18.335658 62.656 -34.2762
18.468526 62.760 -34.8726
18.602356 62.865 -35.4742
18.737156 62.970 -36.0808
18.872934 63.076 -36.6920
19.009695 63.183 -37.3073
19.147447 63.290 -37.9259
19.286197 63.397 -38.5472
19.425953 63.505 -39.1705
19.566721 63.613 -39.7948
19.708510 63.721 -40.4192
19.851326 63.830 -41.0427
19.995177 63.939 -41.6643
20.140070 64.049 -42.2830
20.286013 64.159 -42.8978
20.433014 64.269 -43.5078
20.581080 64.380 -44.1121
20.730219 64.491 -44.7097
20.880439 64.602 -45.2999
21.031747 64.713 -45.8820
21.184152 64.824 -46.4551
21.337661 64.936 -47.0190
21.492282 65.047 -47.5730
21.648024 65.157 -48.1167
21.804895 65.268 -48.6500
21.962902 65.378 -49.1725
22.122054 65.488 -49.6841
22.282360 65.596 -50.1848
22.443827 65.705 -50.6747
22.606464 65.812 -51.1538
22.770280 65.918 -51.6223
22.935283 66.023 -52.0804
23.101481 66.126 -52.5284
23.268884 66.228 -52.9667
23.437500 66.329 -53.3958
23.607338 66.428 -53.8158
23.778406 66.525 -54.2275
23.950714 66.621 -54.6315
24.124271 66.715 -55.0283
24.299086 66.807 -55.4187
24.475167 66.898 -55.8034
24.652524 66.986 -56.1832
24.831166 67.073 -56.5588
25.011103 67.157 -56.9315
25.192344 67.240 -57.3019
25.374898 67.321 -57.6710
25.558775 67.401 -58.0402
25.743984 67.478 -58.4102
25.930536 67.554 -58.7822
26.118439 67.629 -59.1575
26.307704 67.701 -59.5370
26.498341 67.773 -59.9218
26.690359 67.843 -60.3132
26.883768 67.911 -60.7120
27.078579 67.979 -61.1193
27.274801 68.045 -61.5361
27.472446 68.110 -61.9631
27.671522 68.175 -62.4012
27.872042 68.238 -62.8510
28.074014 68.301 -63.3129
28.277450 68.364 -63.7875
28.482360 68.426 -64.2750
28.688755 68.488 -64.7758
28.896645 68.550 -65.2896
29.106042 68.612 -65.8166
29.316957 68.674 -66.3565
29.529400 68.736 -66.9091
29.743382 68.798 -67.4739
29.958915 68.862 -68.0505
30.176009 68.926 -68.6382
30.394677 68.990 -69.2365
30.614929 69.056 -69.8445
30.836778 69.122 -70.4615
31.060234 69.190 -71.0867
31.285309 69.258 -71.7192
31.512015 69.327 -72.3580
31.740364 69.397 -73.0021
31.970368 69.469 -73.6507
32.202039 69.541 -74.3027
32.435388 69.614 -74.9573
32.670428 69.688 -75.6133
32.907171 69.762 -76.2700
33.145630 69.837 -76.9265
33.385817 69.913 -77.5818
33.627745 69.989 -78.2352
33.871425 70.065 -78.8860
34.116871 70.142 -79.5335
34.364096 70.218 -80.1771
34.613113 70.295 -80.8160
34.863934 70.372 -81.4501
35.116572 70.448 -82.0786
35.371041 70.524 -82.7011
35.627354 70.600 -83.3174
35.885525 70.675 -83.9271
36.145566 70.750 -84.5300
36.407492 70.824 -85.1259
36.671316 70.897 -85.7145
36.937051 70.970 -86.2959
37.204712 71.042 -86.8699
37.474313 71.113 -87.4365
37.745867 71.183 -87.9957
38.019389 71.253 -88.5477
38.294893 71.322 -89.0927
38.572394 71.389 -89.6307
38.851905 71.456 -90.1620
39.133442 71.521 -90.6870
39.417019 71.586 -91.2059
39.702651 71.649 -91.7192
39.990353 71.712 -92.2272
40.280140 71.773 -92.7303
40.572026 71.833 -93.2292
40.866028 71.892 -93.7243
41.162160 71.949 -94.2161
41.460438 72.005 -94.7053
41.760877 72.060 -95.1926
42.063494 72.114 -95.6785
42.368303 72.166 -96.1637
42.675322 72.217 -96.6490
42.984565 72.267 -97.1351
43.296048 72.315 -97.6226
